CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;ENTIDADE_RESPONSAVEL;UNIDADE_INSCRICAO;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;RECEITA_PRINCIPAL;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;PGFN;ACRE;FGAC201900092;Em cobrança;INSCRITA;Contribuições FGTS;14/11/2019;NAO;304558.98;FGTS
35.561.786/0001-09;Pessoa jurídica;Principal;SPORT CLUB SANTA RITA;AL;ALAGOAS;PGFN;ALAGOAS;FGAL200700134;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;13/08/2007;SIM;49938.15;FGTS
12.424.339/0001-02;Pessoa jurídica;Principal;CLUBE SPORTIVO CAPELENSE;AL;ALAGOAS;PGFN;ALAGOAS;FGAL000051231;Em cobrança;AJUIZADA;Contribuições FGTS;01/10/1982;SIM;9534.05;FGTS
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;PGFN;ALAGOAS;FGAL201000160;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;17/05/2010;SIM;14806.83;FGTS
12.311.510/0001-69;Pessoa jurídica;Principal;CLUBE FENIX ALAGOANA;AL;ALAGOAS;PGFN;ALAGOAS;FGAL200800494;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;22/12/2008;SIM;6750.58;FGTS
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;PGFN;ALAGOAS;FGAL000056161;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;25/01/1988;SIM;13.92;FGTS
12.183.299/0001-46;Pessoa jurídica;Principal;CENTRO SPORTIVO ALAGOANO;AL;ALAGOAS;PGFN;ALAGOAS;FGAL200700146;Benefício Fiscal;AJUIZ PARCELADA;Contribuições FGTS;14/08/2007;SIM;79392.02;FGTS
33.672.205/0070-02;Pessoa jurídica;Principal;CAMPING CLUBE DO BRASIL;AL;ALAGOAS;PGFN;ALAGOAS;FGAL201400002;Em cobrança;INSCRITA;Contribuições FGTS;03/01/2014;NAO;1671.40;FGTS
12.249.892/0001-48;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AL;ALAGOAS;PGFN;ALAGOAS;FGAL201600249;Em cobrança;INSCRITA;Contribuições FGTS;08/07/2016;NAO;3205.28;FGTS
04.274.733/0001-75;Pessoa jurídica;Principal;ARAGUA MOTO PARK LTDA;AL;ALAGOAS;PGFN;ALAGOAS;FGAL201900664;Em cobrança;INSCRITA;Contribuições FGTS;12/11/2019;NAO;19971.05;FGTS
12.439.568/0001-92;Pessoa jurídica;Principal;AGREMIACAO SPORTIVA ARAPIRAQUENSE;AL;ALAGOAS;PGFN;ALAGOAS;FGAL000056156;Em cobrança;AJUIZADA;Contribuições FGTS;25/01/1988;SIM;64650.50;FGTS
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;CSAM201000352;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);30/09/2010;SIM;4640.18;FGTS
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;CSAM201200099;Em cobrança;AJUIZADA;Contribuições LC110 (FGTS);23/03/2012;SIM;340.02;FGTS
04.400.917/0001-34;Pessoa jurídica;Principal;ATLETICO RIO NEGRO CLUBE;AM;AMAZONAS;PGFN;AMAZONAS;FGAM201200098;Em cobrança;AJUIZADA;Contribuições FGTS;23/03/2012;SIM;42241.17;FGTS
