CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;RECEITA_PRINCIPAL;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
84.322.486/0001-74;Pessoa jurídica;PRINCIPAL;FEDERACAO AQUATICA DO ESTADO DO ACRE;AC;ACRE;2261500060512;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;08/05/2015;NAO;1641.86;NAO_PREVIDENCIARIO
14.333.504/0001-38;Pessoa jurídica;PRINCIPAL;PAMPA CLUBE RECREATIVO E EMPREENDIMENTOS LTDA;AC;ACRE;2251600153736;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;09/12/2016;NAO;1276.72;NAO_PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;PRINCIPAL;ATLETICO ACREANO;AC;ACRE;2261500019989;Em cobrança;ATIVA A SER AJUIZADA;R D Ativa - Multa Isolada;08/05/2015;NAO;1425.95;NAO_PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;PRINCIPAL;ATLETICO ACREANO;AC;ACRE;2261800028797;Em cobrança;ATIVA A SER AJUIZADA;R D Ativa - Multa Isolada;29/03/2018;NAO;5089.29;NAO_PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;PRINCIPAL;ATLETICO ACREANO;AC;ACRE;2251800048146;Em cobrança;ATIVA A SER AJUIZADA;Receita da dívida ativa - Multa - CLT;13/09/2018;NAO;1250.29;NAO_PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;PRINCIPAL;ATLETICO ACREANO;AC;ACRE;2259700017104;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - Multa - CLT;20/11/1997;SIM;2756.74;NAO_PREVIDENCIARIO
04.517.678/0002-88;Pessoa jurídica;PRINCIPAL;CLUBE DE CAMPO AGUAS DO QUINARI;AC;ACRE;2259300001006;Em cobrança;ATIVA AJUIZADA;Receita da dívida ativa - Multa - CLT;11/02/1993;SIM;6281.76;NAO_PREVIDENCIARIO
04.069.969/0001-70;Pessoa jurídica;PRINCIPAL;ASSOCIACAO DESPORTIVA VASCO DA GAMA;AC;ACRE;2261900123627;Em cobrança;ATIVA EM COBRANCA;R D Ativa - Multa Isolada;30/09/2019;NAO;1166.35;NAO_PREVIDENCIARIO
10.902.648/0001-07;Pessoa jurídica;PRINCIPAL;ALTO ACRE FUTEBOL CLUB;AC;ACRE;2261800115924;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;R D Ativa - Multa Isolada;29/03/2018;NAO;4445.10;NAO_PREVIDENCIARIO
03.330.044/0001-78;Pessoa jurídica;PRINCIPAL;PESC PRAIA CLUB RIO BRANCO;AC;ACRE;2251300054694;Em cobrança;ATIVA NAO PRIORIZADA PARA AJUIZAMENTO;Receita da dívida ativa - Multa - CLT;21/11/2013;NAO;2697.66;NAO_PREVIDENCIARIO
