CPF_CNPJ;TIPO_PESSOA;TIPO_DEVEDOR;NOME_DEVEDOR;UF_UNIDADE_RESPONSAVEL;UNIDADE_RESPONSAVEL;NUMERO_INSCRICAO;TIPO_SITUACAO_INSCRICAO;SITUACAO_INSCRICAO;TIPO_CREDITO;DATA_INSCRICAO;INDICADOR_AJUIZADO;VALOR_CONSOLIDADO;ARQUIVO_ORIGEM
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;143451910;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;7606.10;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;140603220;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;02/02/2018;SIM;20300.53;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;137485310;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;28715.12;PREVIDENCIARIO
04.043.220/0001-53;Pessoa jurídica;Principal;ASSOCIACAO DOS SERVIDORES DO INCRA DA C R QUATORZE;AC;ACRE;492390738;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;28/07/2018;NAO;982.99;PREVIDENCIARIO
04.060.059/0001-26;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL DE CRUZEIRO DO SUL;AC;ACRE;158156579;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;12/10/2019;NAO;5070.71;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;149876440;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;21/07/2018;NAO;9315.59;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;149876459;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;21/07/2018;NAO;5132.52;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;461192241;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;22/08/2015;SIM;8615.66;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;461192250;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;22/08/2015;SIM;9142.32;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;140603204;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;02/02/2018;SIM;18664.58;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;140603212;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;02/02/2018;SIM;9713.34;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;140603239;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;02/02/2018;SIM;11029.58;PREVIDENCIARIO
04.087.920/0001-40;Pessoa jurídica;Principal;BANCREVEA CLUBE DE RIO BRANCO;AC;ACRE;140887296;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;11/06/2018;NAO;2661.87;PREVIDENCIARIO
04.596.672/0001-62;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AC;ACRE;158532074;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;30/11/2019;NAO;4415.48;PREVIDENCIARIO
04.060.059/0001-26;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL DE CRUZEIRO DO SUL;AC;ACRE;158156587;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;12/10/2019;NAO;20738.17;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;137485301;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;53870.39;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;143451901;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;01/02/2018;SIM;14520.01;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;432467130;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;24/05/2014;SIM;11498.84;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;479276650;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;12/09/2015;SIM;27710.93;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;479276676;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;12/09/2015;SIM;30927.20;PREVIDENCIARIO
04.043.220/0001-53;Pessoa jurídica;Principal;ASSOCIACAO DOS SERVIDORES DO INCRA DA C R QUATORZE;AC;ACRE;492390720;Em cobrança;INSCRICAO DE CREDITO EM DIVIDA ATIVA;OUTROS;28/07/2018;NAO;529.58;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;124199402;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;27/12/2015;SIM;41328.94;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;432467149;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;24/05/2014;SIM;7266.49;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;144485060;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;02/02/2018;SIM;9880.18;PREVIDENCIARIO
04.044.236/0001-80;Pessoa jurídica;Principal;ATLETICO ACREANO;AC;ACRE;144485079;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;02/02/2018;SIM;5053.67;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;124199410;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;27/12/2015;SIM;22120.13;PREVIDENCIARIO
04.596.672/0001-62;Pessoa jurídica;Principal;ASSOCIACAO ATLETICA BANCO DO BRASIL;AC;ACRE;146468066;Em cobrança;PARCELAMENTO RESCINDIDO;OUTROS;01/09/2018;NAO;2199.62;PREVIDENCIARIO
04.071.544/0001-03;Pessoa jurídica;Principal;RIO BRANCO FOOTBALL CLUB;AC;ACRE;479276668;Em cobrança;AJUIZAMENTO / DISTRIBUICAO;OUTROS;12/09/2015;SIM;18644.90;PREVIDENCIARIO
